Inventory Size Key,Item Description,Size Description,Size Description 2,Size Description 3,Unit Cost
22498,Phoenix Products,"BD CONV MICRO KERRISON RONG 40 UP,4MM,8"" THIN FP",TSI-61013-9755CC,,779.38
22187,Phoenix Products,BELLUCCI ALLIGATOR SCISSOR,TSI-116-51265,"Straight, 7mm Blades, 3 in Shaft; 5 1/4 in (135 mm)",407.00
18640,Phoenix Products,BEYER BONE RONGEUR,TSI-108-6655,Curved; DoubleAction; 3 mm jaw; 7 1/8 in (180 mm),186.52
18642,Phoenix Products,BEYER BONE RONGEUR,TSI-86-6659,"D/A, Curved 4mm; 7 1/8 in ( 180 mm)",50.08
22188,Phoenix Products,BIOPSY FORCEP,TSI-118-101256,"DA, 2mm x 3mm Cups, 70 Degree Curved Up; 6 1/4 in (155 mm)",364.00
22705,Phoenix Products,BIPOLAR DISPOSABLE ELECTROSURGICAL CABLES (BLUE),TSI-CD-5A5B-6555-0 (S),,15.00
18652,Phoenix Products,"BISHOP HARMON TISSUE FORCEP 1X2 TEETH STANDARD 3 3/8""",TSI-115-61077,,40.32
18682,Phoenix Products,"BONE GRAFT IMPACTOR DOUBLE-ENDED 11MM AND 14MM ENDS, 222MM LONG",TSI-713-6555,,59.76
18695,Phoenix Products,BONNEY TISSUE FORCEP,TSI-511-1312146,1x2 teeth; 7 1/8 in (180 mm),18.30
18717,Phoenix Products,"BOOKWALTER MALLEBLE BLADE, 4 X 8",TSI-654551114,,208.89
18735,Phoenix Products,BOOKWALTER SUPER MALL1BLE BLADE WITH LIP SMALL 1.3MM BLADE THICKNESS,TSI-105-911127,,155.97
18781,Phoenix Products,BOOKWALTER® SUPER MALL1BLE BLADE WITH LIP MEDIUM 1.3MM BLADE THICKNESS,TSI-105-911128,,350.68
18797,Phoenix Products,BOOKWALTER-KELLY RETRACTOR BLADE MODIFIED,TSI-105-9101110,,216.70
18798,Phoenix Products,BOOKWATER 3.5 X 2.75 BALFOUR BLADE,TSI-67725612,,429.35
18800,Phoenix Products,BOSTON LYING-IN CERVICAL GRASPING FORCEP,TSI-85-1010125,9 in,18.35
18801,Phoenix Products,"BOWL, SPONGE, MEDIUM",TSI-87-88510,"30 oz., 5 9/16"" x 2 9/16""",35.97
18814,Phoenix Products,"BOZEMAN DRESSING FORCEP S-SHAPE 10 1/4""",TSI-614-136711,,18.75
18820,Phoenix Products,"BRAUN TENACULUM FORCEPS STRAIGHT 10""",TSI-107-99711,,46.94
18823,Phoenix Products,BREISKY VAGINAL RETRACTOR,TSI-107-71165,Curve-Sightly; 1 in x 6 11/16 in,150.74
22277,Phoenix Products,BROWN-ADSON TISSUE FORCEP,TSI-57-51057,"TC, 7x7 Teeth, Serrated; 4 3/4 in (121 mm)",50.00
22645,Phoenix Products,"BUCK EAR CURETTE, STRAIGHT, SHARP NO 2, 2.7MM",TSI-117-6667,,15.57
18855,Phoenix Products,"BUIE FISTULA PROBE SS 6 1/4""",TSI-105-14975,,16.00
18879,Phoenix Products,CASTANEDA MULTI-PURPOSE CLAMP 50 ANGLED JAW 30MM LONG,TSI-85-14556,,154.49
18888,Phoenix Products,"CASTRO NH STRAIGHT W/ LOCK. TUNGSTEN CARBIDE 5 1/2""",TSI-87-995,,222.50
18944,Phoenix Products,CASTROVIEJO NEEDLE HOLDER,TSI-811-6556,"TC, W/ Lock, Serrated, Straight; 8 1/2 in (216 mm)",296.75
22196,Phoenix Products,CASTROVIEJO NEEDLE HOLDER,TSI-87-9911,"TC, W/ Lock, Smooth, Curved; 5 1/2 in (140 mm)",137.40
22156,Phoenix Products,CASTROVIEJO SUTURE FORCEP,TSI-6115-912106,"Delicate, Wide Handle, 1x2 Teeth w/Tying Platform, .12 mm Teeth; 4 1/4 in (108 mm)",368.52
18894,Phoenix Products,"CASTROVIEJO SUTURE FORCEP .3MM TEETH STRAIGHT SHAFT 4 1/4""",TSI-115-61186,,172.00
18895,Phoenix Products,"CASTROVIEJO SUTURE FORCEP .5MM TEETH STRAIGHT SHAFT 4 1/4""",TSI-115-61187,,199.00
22570,Phoenix Products,"CASTROVIEJO SUTURE FORCEP 1 X 2 TEETH, 4 in",TSI-115-611814G,"1x2 Teeth, 0.3mm Teeth, 4in",220.52
21982,Phoenix Products,"CASTROVIEJO SUTURE FORCEPS WIDE HANDLE, DELICATE, 1/x2 TEETH W/TYING PLATFORM",TSI-6115-912108,.30 mm teeth; 4 1/4 in (108 mm),153.70
22699,Phoenix Products,"CERAMIC KAYE SCISSOR, TC CURVED, 7 1/2""",TSI-779.1212.1114,,560.92
22662,Phoenix Products,"CERAMIC METZENBAUM SCISSOR, SLIM TC CURVED, NELSON 9""",TSI-779.810.128,,418.90
22477,Phoenix Products,"CERAMIC METZENBAUM SCISSOR, TC CURVED, 7 1/8""",TSI-779.88.1113,,358.60
22663,Phoenix Products,"CERAMIC METZENBAUM SCISSOR, TC CURVED, NELSON 9""",TSI-779.88.128,,395.43
22149,Phoenix Products,CLAMP FOR BALFOUR FOURTH ATTACHMENT WITH WING NUT,TSI-79-105117C,,73.00
22073,Phoenix Products,CLAMP SURGICAL CAROTID,TSI-101-116914,Bulldog Gregory Serrated Angled Straight Adult; 4 1/2 in,435.00
18923,Phoenix Products,"CLASSIC DELICATE MIXTER FORCEPS, RIGHT ANGLE, 5 1/4""",TSI-85-991310,,12.50
18941,Phoenix Products,CLASSIC PLUS ADSON TISSUE FORCEPS,TSI-811-11555,,37.95
18945,Phoenix Products,CLASSIC PLUS CASTROVIEJO NEEDLE HOLDER LENGTH 144MM,TSI-811-6555,,105.10
18946,Phoenix Products,CLASSIC PLUS CASTROVIEJO NEEDLE HOLDER WITH CATCH,TSI-811-6557,,299.00
18949,Phoenix Products,CLASSIC PLUS CRILE-WOOD NEEDLE HOLDER,TSI-811-7556,,55.72
18953,Phoenix Products,CLASSIC PLUS CUSHING BAYONET TISSUE FORCEPS,TSI-811-115512,,53.72
18954,Phoenix Products,CLASSIC PLUS CUSHING TISSUE FORCEPS STRAIGHT,TSI-811-115510,,77.72
18955,Phoenix Products,CLASSIC PLUS DERF NEEDLE HOLDER,TSI-811-6565,,40.50
18958,Phoenix Products,CLASSIC PLUS H1NEY NEEDLE HOLDER,TSI-811-9565,,55.50
18960,Phoenix Products,CLASSIC PLUS HALSEY NEEDLE HOLDER SMOOTH,TSI-811-65611,,51.44
18964,Phoenix Products,CLASSIC PLUS MAYO SCISSORS CURVED,TSI-811-105117,,30.07
18975,Phoenix Products,CLASSIC PLUS METZENBAUM DELICATE SCISSORS CURVED BLUNT BLUNT,TSI-811-10588,,70.40
18981,Phoenix Products,CLASSIC PLUS METZENBAUM DELICATE SCISSORS STRAIGHT SHARP SHARP,TSI-811-10575,,68.57
18989,Phoenix Products,CLASSIC PLUS MICROVASCULAR NEEDLE HOLDER,TSI-811-8565,,82.54
18991,Phoenix Products,CLASSIC PLUS NELSON DELICATE SCISSORS CURVED,TSI-811-105126,,115.50
18992,Phoenix Products,CLASSIC PLUS NELSON SCISSORS CURVED,TSI-811-105125,,109.19
19005,Phoenix Products,CLASSIC PLUS RYDER NEEDLE HOLDER 1MM JAW,TSI-811-8569,,115.15
19015,Phoenix Products,CLASSIC PLUS® ADSON TISSUE FORCEPS,TSI-811-11555,,37.95
19018,Phoenix Products,CLASSIC PLUS® CASTROVIEJO NEEDLE HOLDER LENGTH 144MM,TSI-811-6555,,105.10
19026,Phoenix Products,CLASSIC PLUS® CUSHING BAYONET TISSUE FORCEPS,TSI-811-115512,,53.72
19027,Phoenix Products,CLASSIC PLUS® CUSHING TISSUE FORCEPS STRAIGHT,TSI-811-115510,,77.72
19028,Phoenix Products,CLASSIC PLUS® DERF NEEDLE HOLDER,TSI-811-6565,,40.50
19030,Phoenix Products,CLASSIC PLUS® H1NEY NEEDLE HOLDER,TSI-811-9565,,55.50
19087,Phoenix Products,"CLASSIC® DELICATE MOSQUITO FORCEPS CURVED, 4""",TSI-85-99127,,28.51
19088,Phoenix Products,"CLASSIC® DELICATE MOSQUITO FORCEPS CURVED, 5""",TSI-85-99129,,22.36
19097,Phoenix Products,CLASSIC® KERRISON THIN-FOOTPLATE CERVICAL RONGEUR 2MM 40º UP BITE INCLUDES DRAIN,TSI-108-61079,,525.00
19101,Phoenix Products,CLASSIC® KERRISON THIN-FOOTPLATE CERVICAL RONGEUR 3MM 40º UP BITE 178MM SHAFT,TSI-108-610610,,315.91
20989,Phoenix Products,COBB OSTEOTOME,TSI-911-7556,STRAIGHT 10MM; 11 in (280 mm),93.00
20990,Phoenix Products,COBB OSTEOTOME,TSI-911-7557,"Straight, 13MM; 11 in (280 mm)",93.00
19135,Phoenix Products,"COLLIN TONGUE SEIZING FORCEPS, 6 1/2""",TSI-85-9885,,44.94
19169,Phoenix Products,Converse Conjunctival Scissor,TSI-1112-101068,Angled On Flat; 4 1/4 in (108 mm),61.10
22448,Phoenix Products,CONVERSE CONJUNCTIVAL SCISSOR,TSI-115-613105,"ANGLED ON FLAT, 4 1/4""",75.30
22152,Phoenix Products,CONVERSE OSTEOTOME,TSI-1112-8665,10 mm Wide; 7 in (178 mm),24.20
19168,Phoenix Products,CONVERSE SKIN HOOK,TSI-118-58511,Sharp; 7 IN  (178 mm),35.41
19175,Phoenix Products,COOLEY ADULT RIB RETR ALU,TSI-109-7655,,498.00
19182,Phoenix Products,COOLEY BULLDOG CLAMP,TSI-1010-95911,Straight; 3 cm Jaw; 3 3/8 in (80 mm),498.00
19183,Phoenix Products,COOLEY BULLDOG CLAMP,TSI-1010-95910,Straight; 2.2 cm Jaw; 3 in (75 mm),498.00
19184,Phoenix Products,COOLEY BULLDOG CLAMP,TSI-1010-95105,Curved; 2.4 cm Jaw; 3 1/4 in (80 mm),498.00
22085,Phoenix Products,COOLEY BULLDOG CLAMP,TSI-61010-96912,Spring Action; Adj Tension; Straight; Jaw 4.7 cm; 3 3/38 in (85 mm),498.00
22086,Phoenix Products,COOLEY BULLDOG CLAMP,TSI-61010-95105,Curved; 2.4 cm Jaw; 3 1/4 in (80 mm),498.00
22087,Phoenix Products,COOLEY BULLDOG CLAMP,TSI-61010-95910,Straight; 2.2 cm Jaw; 3 in (75 mm),498.00
