Inventory Size Key,Item Description,Size Description,Size Description 2,Size Description 3,Unit Cost
22128,Phoenix Products,FRAZIER BRAIN CANNULA,TSI-1012-81457,2 mm Diameter; 4 in (100 mm),190.00
22129,Phoenix Products,FRAZIER BRAIN CANNULA,TSI-1012-81458,2.5 mm Diameter; 4 in (100 mm),117.00
22130,Phoenix Products,FRAZIER BRAIN CANNULA,TSI-1012-81459,3 mm Diameter; 4 in (100 mm),190.00
19644,Phoenix Products,FRAZIER DURAL HOOK,TSI-813-6595,,19.38
19652,Phoenix Products,"FRAZIER SUCTION TUBE 10 FRENCH MEDIUM ANGLE 4"" TL",TSI-514-13865,,16.00
19654,Phoenix Products,"FRAZIER SUCTION TUBE 11 FRENCH MEDIUM ANGLE 4"" TL",TSI-514-13866,,24.46
19657,Phoenix Products,"FRAZIER SUCTION TUBE 12 FRENCH MEDIUM ANGLE 4"" TL",TSI-514-13867,,17.20
19668,Phoenix Products,"FRAZIER SUCTION TUBE 9 FRENCH MEDIUM ANGLE 4"" TL",TSI-514-138514,,20.80
19674,Phoenix Products,FRAZIER SUCTION TUBE ANGULAR,TSI-125-651314,"11FR, 7 1/2 in",35.55
19673,Phoenix Products,"FRAZIER SUCTION TUBE ANGULAR, 11FR, 4 1/2""",TSI-125-65136,,32.65
19677,Phoenix Products,"FRAZIER SUCTION TUBE ANGULAR, 9FR, 4 1/2""",TSI-125-65135,,70.00
19678,Phoenix Products,"FRAZIER SUCTION TUBE ANGULAR, 9FR, 7 1/2""",TSI-125-651313,,26.99
22041,Phoenix Products,FREEMAN RAKE RETRACTOR,TSI-77-7556,"4 Sharp Prongs, 1 1/2 in wide, 7 in (178 mm)",34.00
19685,Phoenix Products,"FREER DOUBLE HOOK 2.5 MM WIDE, SHARP",TSI-75-10757,6 in (152 mm),20.15
19688,Phoenix Products,FREER ELEVATOR,TSI-1110-111175,"Double Ended, Sharp & Blunt Blades, 5 mm Wide; 7 1/2 in (190 mm)",16.89
19686,Phoenix Products,"FREER ELEVATOR, DOUBLE-ENDED, SHARP & BLUNT BLADES, 6.5 MM WIDE",TSI-1010-125712,7 1/2 in (190 mm),34.07
19693,Phoenix Products,FRIEDMAN RONGUER,TSI-85-5759,Curved; Delicate; Jaws 2 mm; 6 in wide,56.75
19696,Phoenix Products,GARDNER WELLS SKULL TONG,TSI-1111-65710,,172.24
19517,Phoenix Products,GARRETT VASCULAR DILATOR,TSI-76-135510,Holder; 8 1/4 in (210 mm),35.00
19705,Phoenix Products,"GARRETT VASCULAR DILATOR 2.0MM 5 1/2"" (140MM)",TSI-710-135813,,57.60
19719,Phoenix Products,GELPI PERIN1L RETRACTOR,TSI-105-6765,,54.35
21413,Phoenix Products,GELPI-SELTZER RETRACTOR,TSI-105-6766,90 Degree Bent Tips; 6 3/4 in (171 mm),61.10
22034,Phoenix Products,GEMINI ClAMP,TSI-109-1271012,Fully Curved; Delicate Jaws; 8 in (200 mm),36.35
19724,Phoenix Products,GEMINI CLAMP,TSI-109-1271014,Fully Curved; Delicate Jaws;11 in (320mm),31.35
19727,Phoenix Products,GEMINI CLAMP,TSI-109-1271013,Fully Curved; Delicate Jaws; 9 in (230 mm),25.99
19729,Phoenix Products,GEMINI CLAMP,TSI-614-1010135,Fully Curved; Delicate Jaws; 7 in (175mm),32.00
19731,Phoenix Products,"GEMINI CLAMP CURVED, 9""",TSI-614-1010137,,31.15
19732,Phoenix Products,"GEMINI DELICATE CLAMP 80 ANGLED, 7 1/4""",TSI-85-99147,,55.12
19733,Phoenix Products,"GEMINI DELICATE CLAMP 80º ANGLED, 7 1/4""",TSI-85-99147,,55.12
19737,Phoenix Products,"GERALD BAYONET FORCEP DELICATE 1X2 TEETH 7 1/2""",TSI-512-713914,,17.30
19745,Phoenix Products,"GERALD TISSUE FORCEPS, 1X2 TEETH, 1.3M TIP, 7""",TSI-85-6765,,14.75
19756,Phoenix Products,"GIGLI ROUND SAW, LARGE CUT, 20""",TSI-1210-6559,,65.58
19749,Phoenix Products,"GIGLI WIRE SAW, 20""",TSI-1210-6567,,20.25
19759,Phoenix Products,GILLIES NEEDLE HOLDER,TSI-87-9710,Curved; TC; Offset Design; Serrated Jaws; 6 1/4 in (159 mm),115.00
22443,Phoenix Products,"GLASSMAN FORCEPS, STRAIGHT 9 1/2 IN",TSI-105-8579,,149.04
22444,Phoenix Products,"GLASSMAN FORCEPS, STRAIGHT ATRAUMATIC 10 IN",TSI-105-87710,,149.04
22445,Phoenix Products,"GLASSMAN FORCEPS, STRAIGHT ATRAUMATIC 11 IN",TSI-105-85713,,149.04
22138,Phoenix Products,GOODHILL ALLIGATOR FORCEP,TSI-116-56811,"6 mm Finely Serrated Jaws, 3 in Shaft (75mm); 5 1/4 in (135 mm)",351.00
19786,Phoenix Products,"GRAVES MOD VAG SPEC 90DEG RIGHT SIDE OPEN MEDIUM 4""X1.5""",TSI-107-512115,,65.76
22246,Phoenix Products,GRAVES NONCONDUCTIVE SPECULUM,TSI-6107-551167NC,"One Smoke Tube, Large, 12 cm x 4 cm Blades",55.40
22459,Phoenix Products,GRAVES NONCONDUCTIVE SPECULUM,TSI-6107-51165NC,"One Smoke Tube, Medium, 10 cm x 4 cm Blades",66.39
22473,Phoenix Products,GRAVES NONCONDUCTIVE SPECULUM,TSI-6107-511613NC,"One Smoke Tube, XXL, 18 cm x 4.4 cm Blades",102.70
22613,Phoenix Products,GRAVES NONCONDUCTIVE SPECULUM,TSI-6107-511512NC,"One Smoke Tube, Small, 7.5 cm x 2 cm Blades",66.39
22181,Phoenix Products,GRAVES VAGINAL SPECULUM,TSI-107-511614ES,6 x 1.5 W/Smoke Tube & Ebonize,85.05
22238,Phoenix Products,GRAVES VAGINAL SPECULUM,TSI-107-51175,"XXL, 18 cm x 4.4 cm Blade",35.80
22623,Phoenix Products,"GRAVES VAGINAL SPECULUM INSULATED, LARGE, BLUE COATED",TSI-107-51167I,,66.39
22077,Phoenix Products,GREGORY CAROTID ANGLED BULLDOG CLAMP,TSI-1010-1110914,Jaw 6.4 cm; Distal Tip 1.2 cm; 45 degre angled-left; 4 5/8 in (115 mm),611.65
19843,Phoenix Products,"GROOVED DIRECTOR PROBE POINT 5 3/4""",TSI-514-61169,,0.92
19852,Phoenix Products,GRUENWALD BAYONET FORCEP,TSI-512-85611,Serrated Tips; 6 1/4 in (159 mm),9.70
22094,Phoenix Products,GUTHRIE HOOK,TSI-813-111085,Delicate; Sharp; Double Prong; 2mm wide; 4 3/4 in (121 mm),12.40
18959,Phoenix Products,HALSEY NEEDLE HOLDER,TSI-811-65610,"TC, Serrated; 5 in",41.35
19868,Phoenix Products,"HALSEY NEEDLE HOLDER 5 3/8"" SMOOTH JAW",TSI-65-6568,,14.07
19876,Phoenix Products,HALSTED MOSQUITO FORCEP,TSI-610-9967,"Straight, 5 in (127mm)",9.90
19883,Phoenix Products,HALSTED MOSQUITO FORCEP,TSI-87-9555,"Straight, 5 in (127mm)",6.05
22076,Phoenix Products,HALSTED MOSQUITO FORCEP,TSI-88-9566,Curved; 5 in (127 mm),15.84
19875,Phoenix Products,"HALSTED MOSQUITO FORCEP CURVED 5""",TSI-610-91067,,8.85
19879,Phoenix Products,"HALSTED MOSQUITO FORCEPS CURVED 5"" (127MM)",TSI-87-9556,,6.05
19904,Phoenix Products,HARDY LATERAL KNIFE HANDLE,TSI-135-6869,,183.85
19923,Phoenix Products,HARDY™ LATERAL KNIFE HANDLE,TSI-135-6869,,183.85
19952,Phoenix Products,HEANEY HYSTERECTOMY RETRACTOR 28MM WIDE X 85MM DEEP 168MM BLADE,TSI-105-10101112,,31.36
22657,Phoenix Products,"HEANEY NEEDLE HOLDER 12"" TC",TSI-687-7885,,101.97
19956,Phoenix Products,HEANEY-SIMON HYSTERECTOMY RETRACTOR,TSI-105-1010125,,35.80
19964,Phoenix Products,HEGAR NEEDLE HOLDER TUNGSTEN CARBIDE 5 1/2,TSI-87-6115,,41.60
19965,Phoenix Products,HEGAR UTERINE DIL (SET OF 8),TSI-107-81097,,204.74
19972,Phoenix Products,"HEGAR UTERINE DILATOR, SINGLE SIZES, 17/18MM, 8""",TSI-710-101088,,28.54
19988,Phoenix Products,HEISS ARTERY FORCEP,TSI-85-135611,"Delicate Pattern, Curved, 8 in (200 mm)",52.25
19997,Phoenix Products,HEPARIN FLUSHING NEEDLE,TSI-910-13557,3 mm Tip; 1 3/4 in (45 mm),14.40
20000,Phoenix Products,HEPARIN NEEDLE OLIVE TIP,TSI-109-11555,,37.70
22237,Phoenix Products,HERCULES-TYPE WIRE CUTTER,TSI-OL-11510-78,"Drill Wires Of Max 3.mm, Replacement TC Blades & Replacement Rubber Jaws; 9 in (230 mm)",1372.75
20037,Phoenix Products,HOHMANN RETRACTOR,TSI-1212-661112,"2 Finger Rings, 22 mm Wide; 11 in (280 mm)",61.40
20036,Phoenix Products,"HOHMANN RETRACTOR 18MM WIDE 9 1/2""",TSI-1212-66613,,42.36
22433,Phoenix Products,"Hook, Osher ""Y"", 4 3/4 in",TSI-115-68512,,205.72
22470,Phoenix Products,"HOOK, TRACHEAL, SINGLE-PRONG, SHARP, 6 1/4 IN",TSI-75-11956,,16.21
22574,Phoenix Products,"HORIZON OPEN LIGATING CLIP APPLIERS MEDIUM, CURVED 8""",TSI-78-125136,,436.60
22573,Phoenix Products,"HORIZON OPEN LIGATING CLIP APPLIERS SMALL/WIDE, CURVED 8""",TSI-68-125137,,436.60
20059,Phoenix Products,"HORTON ADSON TISSUE FORCEP 1X2 SERRATED TC 4 3/4""",TSI-87-1058,,24.10
22640,Phoenix Products,"HOUSE INCUDOSTAPEDIAL JOINT KNIFE, 0.75MM BLADE, ANGLED 60 DEG. 6 3/4""",TSI-116-581213,,132.67
21988,Phoenix Products,"HOUSE MINATURE FORCEP FINELY SERRA, X-DEL JAWS",TSI-6116-56912,"4 mm, 2 3/4 in (70 mm) shaft",180.00
20069,Phoenix Products,"HOUSE STRUT FORCEP, 6 mm SMOOTH JAW, SHAFT 3 in (75 mm)",TSI-116-56814,5 1/4 in (135 mm),180.00
22214,Phoenix Products,HULKA UTERINE TENACULUM,TSI-107-512910,3.5 mm Curved Probe Tip & Single Tooth; 11 1/4 in (286 mm),54.55
22078,Phoenix Products,"HYSTERECTOMY FORCEP, ZEP TYPE ATRAUMATIC",TSI-107-1414148,Straight Handle; Angled; 8 in (210 mm),147.00
22095,Phoenix Products,IN SITU VALVE SCISSOR,TSI-1010-145146,Blunt tips; One Serrated Blade; 7 in (175 mm),858.00
20101,Phoenix Products,"INSTRUMENT STRINGER WITH ROUND BAR 2 1/2 X 6""",TSI-106-55511,,23.55
20103,Phoenix Products,INTERVERTEBRAL DISC RONGEUR 6MM X 10MM CUP,TSI-108-6775,,233.14
20110,Phoenix Products,IODINE CUP,TSI-87-8866,6 OZ. (177ML),28.47
20111,Phoenix Products,IODINE CUP,TSI-1410-148511,6oz 3 7/16 X 2,8.14
22091,Phoenix Products,IODINE CUP,TSI-61410-14869,14oz; 4 3/8 in x 2 5/8 in,29.65
20112,Phoenix Products,"IRIS FORCEP SERRATED SLGHT CURVE 4""",TSI-511-8575,,9.60
20121,Phoenix Products,"IRIS SCISSOR CURVED STANDARD 4 1/8""",TSI-57-7665,,7.84
20125,Phoenix Products,"IRIS SCISSOR STRAIGHT STANDARD PATTERN 4 1/8""",TSI-57-7565,,8.96
20126,Phoenix Products,IRIS SCISSORS CURVED SHARP/SHARP,TSI-109-111058,,23.42
18422,Phoenix Products,"IRIS SCISSORS STANDARD PATTERN, CURVED",TSI-57-7666,4 1/2 in (114 mm),9.70
21980,Phoenix Products,"IRIS SCISSORS STANDARD PATTERN, STRAIGHT",TSI-57-7566,4 1/2 in (114 mm),8.79
22606,Phoenix Products,"IUD REMOVAL HOOK. DOUBLE HOOK, 10 1/4""",TSI-108-5111014,,29.02
22279,Phoenix Products,IVES-FANSLER ANOSCOPE,TSI-6105-1212126,"Plastic Obturator, 1 in Diameter; 3 3/38in (85 mm)",58.90
22469,Phoenix Products,"IVES-FANSLER ANOSCOPE, w/ PLASTIC OBTURATOR",TSI-105-1212126,"1"" diameter, 3 3/8"" (8.5 cm)",70.60
20140,Phoenix Products,"JACKSON TRACHEAL TENACULUM 5 3/4""",TSI-75-9569,,19.42
20146,Phoenix Products,"JACOBS UTERINE VALSELLUM FORCEPS 2 X 2 TEETH SHARP PRONGS, 8 1/4""",TSI-85-1011510,,53.74
22597,Phoenix Products,"JACOBSON MICRO ARTERY FORCEP SLIGHT CURVE 7 1/8""",TSI-611-961313,,61.05
22164,Phoenix Products,JACOBSON MICRO NEEDLE HOLDER W/ LOCK,TSI-1010-712712,"Fine TC dust, Use W/ 7-0, 8-0 Suture; 8 1/4 in (210 mm)",548.00
20163,Phoenix Products,JANSEN DRESSING FORCEPS,TSI-85-11141410,,20.83
22235,Phoenix Products,JANSEN SCALP RETRACTOR,TSI-79-6865,"45mm Spread, 3x3 Sharp Prongs; 4 in (100mm)",48.25
22081,Phoenix Products,JANSEN-MIDDLETON FORCEP,TSI-1111-7101111,Thru-Cutting; 3 mm x 13 mm; 7 1/2 (191 mm),255.00
20171,Phoenix Products,"JEFFERSON DURAL FORCEP 7"" (17.5CM) 1 X 2 TEETH",TSI-511-75610,,10.45
20187,Phoenix Products,JOSEPH DOUBLE PRONG HOOK,TSI-813-1111911,,12.45
20190,Phoenix Products,JOSEPH PERIOSTEAL ELEVATOR,TSI-711-9959,"Slightly Curved, Sharp, 4 mm Wide; 6 1/2 in (165 mm)",30.50
20194,Phoenix Products,"JOSEPH SKIN HOOK DOUBLE PRONG 10MM 6 1/4""",TSI-75-10565,,16.21
20195,Phoenix Products,"JOSEPH SKIN HOOK DOUBLE PRONG 2MM 6 1/4""",TSI-75-10557,,20.00
20197,Phoenix Products,"JOSEPH SKIN HOOK DOUBLE PRONG 7MM 6 1/4""",TSI-75-105512,,22.20
20198,Phoenix Products,JOSEPH SKIN HOOK SINGLE PRONG,TSI-75-10556,4mm; 6 1/4 in (159 mm),16.88
20199,Phoenix Products,"JUDD-ALLIS FCP 3X4 6""",TSI-105-5111110,,43.38
20207,Phoenix Products,KARLIN CERVICAL MICRO CURETTE BACKWARD ANGLED,TSI-911-861113,,168.94
20263,Phoenix Products,KARLIN CERVICAL MICRO CURETTE FORWARD ANGLED,TSI-911-861012,,200.00
20216,Phoenix Products,KARLIN CERVICAL MICRO CURETTE FORWARD STRAIGHT,TSI-911-86108,,168.94
20223,Phoenix Products,KARLIN CRANK FRAME SPINAL RETRACTOR RATCHET,TSI-911-86147,,232.95
20246,Phoenix Products,KARLIN SPINAL BLADE ULTRA TIP,TSI-911-861213,,133.00
20251,Phoenix Products,"KARLIN STILETTO OSTEOTOME STRAIGHT, 1/4 IN",TSI-911-85116,,182.75
20252,Phoenix Products,"KARLIN STILETTO OSTEOTOME STRAIGHT, 3/8 IN",TSI-911-85117,,182.75
20266,Phoenix Products,KARLIN STYLE CERVICAL CURETTE,TSI-911-86106,"Forward Straight, 0",168.94
20215,Phoenix Products,KARLIN STYLE CERVICAL CURETTE,TSI-911-86107,"Forward Straight, 00",168.94
20253,Phoenix Products,KARLIN XL MAGNUM COBB ELEVATOR,TSI-911-8798,,294.11
20323,Phoenix Products,"KARLIN™ STILETTO OSTEOTOME STRAIGHT, 3/8 IN",TSI-911-85117,,182.75
20327,Phoenix Products,KELLY ARTERY FORCEP,TSI-610-12669,Curved; 5 1/2 in (140mm),8.96
20329,Phoenix Products,"KELLY ARTERY FORCEP STRAIGHT 5 1/2""",TSI-610-12569,,6.66
20331,Phoenix Products,KELLY FORCEPS CURVED,TSI-87-9576,"5 1/2"" (140MM)",6.85
20363,Phoenix Products,KERRISON LUMBAR RONGEUR 3MM 40 UP BITE INCLUDES DRAINAGE HOLES,TSI-108-6969,,525.00
22598,Phoenix Products,"KERRISON MICRO LUMBAR RONGEUR 3MM 40 UP BITE, 10 """,TSI-1112-127125,,462.80
20374,Phoenix Products,KEVOURKIAN-YOUNGE BIO CUR W/BASK,TSI-107-125610,,48.25
20375,Phoenix Products,"KEVOURKIAN-YOUNGE ENDOCERVICAL BIOPSY, W/O BASKET 11 3/4"", 298MM",TSI-107-12565,,27.30
20380,Phoenix Products,"KEY ELEVATOR, 3/4"" BLADE WIDTH, 7 1/2""",TSI-1110-71068,,40.77
22521,Phoenix Products,"KLEINSASSER MICRO-LARYNGEAL SCISSORS, CURVED RIGHT",TSI-129-11585,"4mm Blades, 10 3/4 in",516.52
20399,Phoenix Products,"KNAPP DISSECTING SCISSOR STRAIGHT, 4""",TSI-57-9565,,66.76
20404,Phoenix Products,KNIFE HANDLE #3,TSI-56-71258,Standard; 5 in (127 mm),1.85
21644,Phoenix Products,KNIFE HANDLE #3,TSI-66-101085,Standard; 5 in (127 mm),3.15
20406,Phoenix Products,"KNIFE HANDLE #3, LONG",TSI-56-71268,8 3/8 in,20.00
21645,Phoenix Products,KNIFE HANDLE #4,TSI-66-101086,5 1/4 in (136 mm),3.80
20407,Phoenix Products,"KNIFE HANDLE #4 STANDARD, 5 1/4""",TSI-56-71359,,3.80
21646,Phoenix Products,KNIFE HANDLE #7,TSI-66-101089,6 1/4 in,3.23
20419,Phoenix Products,KNIFE HANDLE ROUND,TSI-56-8587L,"Knurled Round, Beaver Type, For Mini Blades (series 50, 60, 70); 6 in (152 mm)",10.45
20418,Phoenix Products,KNIFE HANDLE ROUND 3K,TSI-56-713105,"Knurled Handle, Beaver Type, For Mini Blades (series 50, 60, 70); 4 in (102 mm)",19.47
20424,Phoenix Products,KNOT PUSHER OPEN END 5MM,TSI-145-1051414,,211.43
20450,Phoenix Products,"LAHEY THYROID TENACULUM FORCEPS, 3X3 SHARP TEETH, 6 1/4""",TSI-85-951313,,27.36
20482,Phoenix Products,LANGENBECK RETRACTOR BLADE 213MM LONG X 13MM WIDE X 42MM DEEP,TSI-105-971011,,20.95
20485,Phoenix Products,LAPAROSCOPIC FAN LIVER RETRACTOR ADJUSTABLE 5MM BLADE,TSI-1113-610148,,1460.40
20488,Phoenix Products,LARYNGEAL MIRROR,TSI-128-91377,"Octagon Handle, Size 6; 8 in (203 mm)",19.00
20492,Phoenix Products,LEAD HAND ADULT MALLEABLE,TSI-87-8868,,88.30
20500,Phoenix Products,LEKSELL BONE RONGEUR,TSI-86-10658,"DA, Lightly curved, 3 mm Wide Jaws; 9 in (230 mm)",156.00
20496,Phoenix Products,"LEKSELL LAMINECTOMY RONGEUR DOUBLE ACTION WIDE JAW, 8MM BITE REGULAR CURVED",TSI-108-66710,,235.39
22247,Phoenix Products,LELAND JONES PERIPHERAL CLAMP,TSI-1010-115712,,315.10
20504,Phoenix Products,"LEMPERT BONE RONGEUR 2MM BITE CURVED 6 1/2"" (16CM) SHAFT",TSI-108-6657,,103.24
20505,Phoenix Products,LEMPERT BONE RONGEUR 3MM BITE STRAIGHT,TSI-108-66513,,103.24
20513,Phoenix Products,"LEMPERT RONGEUR 6.25"" CURVED, SLENDER PATTERN",TSI-85-121178,,101.97
22243,Phoenix Products,LEYLA BRAIN RETRACTOR ACCESSORY,TSI-1012-101498,Ball Joint Clamp For Mounting,3033.35
22244,Phoenix Products,LEYLA BRAIN RETRACTOR ACCESSORY,TSI-1012-101497,Coupling Head,2133.25
22245,Phoenix Products,LEYLA BRAIN RETRACTOR ACCESSORY,TSI-1012-101496,Rigid Holding Arm,1052.48
22134,Phoenix Products,LILLIE EAR HOOK,TSI-116-5579,1mm Ball Tip Angled 90 Degrees; 7 in (175 mm),14.00
20527,Phoenix Products,LISTER BANDAGE SCISSORS LARGE RING,TSI-109-96147,,35.29
20528,Phoenix Products,"LISTERILIZATION BANDAGE SCISSOR 5 1/2""",TSI-95-71069,,8.77
20531,Phoenix Products,LISTON BONE CUT FCP 7 1/2,TSI-88-75614,,95.24
20534,Phoenix Products,LISTON BONE FORCEPS STRAIGHT,TSI-85-6865,,126.37
20538,Phoenix Products,LITTAUER STITCH SCISSORS,TSI-109-95612,5 1/8 in (130 mm),10.25
20541,Phoenix Products,LOCKHART-MUMMERY PROBE,TSI-105-14989,Curved; Retrograde,29.65
22080,Phoenix Products,LOCKHART-MUMMERY PROBE,TSI-105-14986,Straight; 16 cm,31.40
20543,Phoenix Products,"LORNA TOWEL CLAMP 5 1/2""",TSI-612-101269,,13.85
20545,Phoenix Products,LOVE NERVE ROOT RETRACTOR 135,TSI-105-68612,,39.04
20546,Phoenix Products,LOVE NERVE ROOT RETRACTOR 135º,TSI-105-68612,,39.04
20554,Phoenix Products,"LOVE-GRUEN IVD RONGEUR STRAIGHT 6""",TSI-108-6755C,,185.90
20566,Phoenix Products,LUCAE EAR FORCEPS,TSI-85-11131413,,19.09
20571,Phoenix Products,MAGILL CATH FCP ADULT,TSI-910-121058,,19.77
20574,Phoenix Products,MAGILL ENDOTRACHEAL CATHETER INTRODUCING FORCEPS,TSI-85-9895,,35.83
20575,Phoenix Products,MAGNAFREE® ADSON TISSUE FORCEPS 1 X 2 TEETH,TSI-1110-7968T,4 3/4 in Titanium,288.60
20581,Phoenix Products,MALIS FORCEPS STRAIGHT BAYONET BLUNT TIP TIP WIDTH 0.75MM,TSI-135-61057,,408.00
20588,Phoenix Products,MALIS SCISSORS BAYONET CURVED UP FINE TIP,TSI-135-610710,,365.36
20589,Phoenix Products,MALIS SCISSORS BAYONET STRAIGHT FINE TIP,TSI-135-61079,,369.49
20612,Phoenix Products,MALLEABLE SUCTION TUBE 140MM WORKING LENGTH (FUKUSHIMA STYLE),TSI-1112-1213119,,78.46
22575,Phoenix Products,"MAUMENEE VITREOUS ASPIRATING NEEDLE, BLUNT TIP w/ markings 18 GAUGE",TSI-6115-66106,,629.37
20635,Phoenix Products,MAYO CLASSIC SCISSORS ROUND CURVED,TSI-89-951412,,12.68
20636,Phoenix Products,MAYO CLASSIC SCISSORS ROUND STRAIGHT,TSI-89-95147,,11.80
20640,Phoenix Products,"MAYO HEGAR NH LEFT HND 7""",TSI-87-685L,,38.40
20642,Phoenix Products,MAYO SCISSOR,TSI-58-106612,"Beveled, Curved, 6 3/4 in (171 mm)",6.50
18963,Phoenix Products,MAYO SCISSOR,TSI-811-105116,"TC, Beveled, Curved; 6 3/4in (171 mm)",37.95
20634,Phoenix Products,MAYO SCISSOR,TSI-89-99145,"Beveled, Straight 6 3/4 in (171 mm)",40.74
20643,Phoenix Products,"MAYO SCISSOR CURVED 9""",TSI-58-10678,,21.55
19039,Phoenix Products,MAYO SCISSORS,TSI-811-105106,"TC, Beveled, Straight 6 3/4 in (171 mm)",37.95
22670,Phoenix Products,"MAYO SCISSORS CURVED, BEVELED BLADES, 10""",TSI-58-106710,,40.79
20651,Phoenix Products,MAYO SCISSORS STRAIGHT,TSI-109-95145,,11.25
20652,Phoenix Products,"MAYO SCISSORS STRAIGHT 6 3/4""",TSI-58-105612,,17.05
22669,Phoenix Products,"MAYO SCISSORS STRAIGHT, BEVELED BLADES, 10""",TSI-58-105710,,28.24
18967,Phoenix Products,MAYO-CARROLL SCISSOR,TSI-811-105107,Straight; TC; Beveled; 9 in (230 mm),69.56
18968,Phoenix Products,MAYO-HEGAR NEEDLE HOLDER,TSI-811-75610,,39.65
18969,Phoenix Products,MAYO-HEGAR NEEDLE HOLDER,TSI-811-75611,"TC, Serrated; 6 in (152mm)",37.50
18971,Phoenix Products,MAYO-HEGAR NEEDLE HOLDER,TSI-811-75613,"TC, Serrated; 8 in (203mm)",49.75
18972,Phoenix Products,MAYO-HEGAR NEEDLE HOLDER,TSI-811-75614,,76.01
19041,Phoenix Products,MAYO-HEGAR NEEDLE HOLDER,TSI-811-75610,,39.65
19043,Phoenix Products,MAYO-HEGAR NEEDLE HOLDER,TSI-811-75612,"TC, Serrated; 7 in (178mm)",37.50
20670,Phoenix Products,MAYO-HEGAR NEEDLE HOLDER,TSI-87-675,"TC, Serrated; 6 in (152mm)",34.40
20671,Phoenix Products,MAYO-HEGAR NEEDLE HOLDER,TSI-87-685,"TC, Serrated; 7 in (178mm)",38.40
22145,Phoenix Products,MAYO-HEGAR NEEDLE HOLDER,TSI-65-651376,"Serrated Jaws, Stubby Jaws; 8 in (203 mm)",23.75
20666,Phoenix Products,"MAYO-HEGAR NEEDLE HOLDER 5 1/4""",TSI-65-61368,,11.93
20668,Phoenix Products,"MAYO-HEGAR NEEDLE HOLDER 7""",TSI-65-613613,,15.14
22531,Phoenix Products,"MAYO-HEGAR NEEDLE HOLDER 7"", STUBBY JAW",TSI-65-613614,,21.73
22449,Phoenix Products,"MAYO-HEGAR NEEDLE HOLDER, FENESTRATED JAWS 10 1/4""",TSI-65-613710,,38.07
22120,Phoenix Products,MAYO-NOBLE DISSECTING SCISSOR,TSI-109-951210,Straight; Beveled Blades; 6 3/4 in (171 mm),13.00
20678,Phoenix Products,"MAYO-STILLE DISSECTING SCISSOR CURVED 6"" 6 3/4""",TSI-58-1012612,,9.66
20691,Phoenix Products,MCCREA INFANT & FEMALE URETHRAL SOUND,TSI-106-1113713,28 FR; 7 in (178 mm),45.73
20689,Phoenix Products,MCCREA INFANT & FEMALE URETHRAL SOUND,TSI-106-111379,24 FR; 7 in (178 mm),42.91
22111,Phoenix Products,MCCREA INFANT & FEMALE URETHRAL SOUND,TSI-106-111387,32 FR; 7 in (178 mm),25.00
22112,Phoenix Products,MCCREA INFANT & FEMALE URETHRAL SOUND,TSI-106-111389,34 FR; 7 in (178 mm),25.90
22113,Phoenix Products,MCCREA INFANT & FEMALE URETHRAL SOUND,TSI-1061113811,36 FR; 7 in (178 mm),45.00
20692,Phoenix Products,MCCREA INFANT & URETHRAL SOUND,TSI-106-111385,30 FR; 7 in (178 mm),25.10
20688,Phoenix Products,MCCREA INFANT URETHRAL SOUND,TSI-106-111377,22 FR; 7 in (178 mm),43.42
20690,Phoenix Products,MCCREA INFANT URETHRAL SOUND,TSI-106-1113711,26 FR; 7 in (178 mm),42.91
20729,Phoenix Products,MCDOUGAL PROSTATE CLMP LEFT,TSI-106-1012510,,148.71
20746,Phoenix Products,MEDICINE CUP 2 OZ. (59ML),TSI-87-8865,,8.90
20747,Phoenix Products,"MEDICINE CUP 2OZ, 2 1/8 X 2",TSI-1410-14957,,8.35
21570,Phoenix Products,MEDICINE SPOON,TSI-107-6666,Small,5.99
21571,Phoenix Products,MEDICINE SPOON,TSI-107-6667,Soup Size,6.25
20759,Phoenix Products,METZENBAUM CLASSIC SCISSORS CURVED,TSI-89-65712,,589.00
18977,Phoenix Products,METZENBAUM DELICATE SCISSOR,TSI-811-10587,"Curved, TC, Sharp/Sharp Tips; 7 in (178 mm)",46.45
20761,Phoenix Products,METZENBAUM DELICATE SCISSORS CURVED,TSI-109-1010128,,42.31
20768,Phoenix Products,METZENBAUM DISSECTING SCISSOR,TSI-109-6575,Straight; 5 3/4 in (146 mm),15.30
22205,Phoenix Products,METZENBAUM DISSECTING SCISSOR,TSI-89-6576,"Curved, Standard Pattern; 5 3/4 in (146 mm)",10.85
20762,Phoenix Products,METZENBAUM DISSECTING SCISSORS CURVED,TSI-109-65712,,12.52
20765,Phoenix Products,METZENBAUM DISSECTING SCISSORS CURVED,TSI-109-65812,,38.60
22460,Phoenix Products,"METZENBAUM DISSECTING SCISSORS CURVED 8""",TSI-59-8875,,21.55
20769,Phoenix Products,METZENBAUM SCISSOR,TSI-87-1265,"Curved, TC, Regular Tip 5 3/4 in (146 mm)",66.65
22276,Phoenix Products,METZENBAUM SCISSOR,TSI-87-12106,"TC, Curved, Delicate Tip: 7 in (178 mm)",39.35
22126,Phoenix Products,METZENBAUM SCISSOR,TSI-87-1266,Curved; TC; Delicate Tip; 5 3/4 in (146 mm),44.80
